#SampleID	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Genus	Species	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_material_id	SRA Study	create_date	version
SRR5836651	AMPLICON	151	1283802	PRJNA394790	SAMN07359765	Metagenome or environmental	708495	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013114	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Boophis	picturatus	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J1.73	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J1.73	DNA extracted from sample J1.73	SRP112703	2017-07-18T09:10:00Z	1
SRR5836652	AMPLICON	151	3847631	PRJNA394790	SAMN07359796	Metagenome or environmental	2067773	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013113	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	sculpturatus	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J1.82	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J1.82	DNA extracted from sample J1.82	SRP112703	2017-07-18T09:11:00Z	1
SRR5836653	AMPLICON	151	2407695	PRJNA394790	SAMN07359795	Metagenome or environmental	1239453	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/11/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013112	Madagascar	Africa	"Madagascar:Ranomafana\	Vatoharanana"	Gephyromantis	sculpturatus	Illumina MiSeq	Skin swab	21.28882 S 47.42963 E	J1.81	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J1.81	DNA extracted from sample J1.81	SRP112703	2017-07-18T09:10:00Z	1
SRR5836654	AMPLICON	151	3488402	PRJNA394790	SAMN07360279	Metagenome or environmental	1808210	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013111	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Heterixalus	betsileo	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.5	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.5	DNA extracted from sample J8.5	SRP112703	2017-07-18T09:11:00Z	1
SRR5836655	AMPLICON	151	2153562	PRJNA394790	SAMN07360289	Metagenome or environmental	1177661	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013110	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.49	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.49	DNA extracted from sample J8.49	SRP112703	2017-07-18T09:11:00Z	1
SRR5836656	AMPLICON	151	6646416	PRJNA394790	SAMN07360288	Metagenome or environmental	3612771	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013109	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.48	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.48	DNA extracted from sample J8.48	SRP112703	2017-07-18T09:11:00Z	1
SRR5836657	AMPLICON	151	4436380	PRJNA394790	SAMN07360287	Metagenome or environmental	2433891	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013108	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.47	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.47	DNA extracted from sample J8.47	SRP112703	2017-07-18T09:11:00Z	1
SRR5836658	AMPLICON	151	5515275	PRJNA394790	SAMN07360286	Metagenome or environmental	2968271	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013107	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.46	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.46	DNA extracted from sample J8.46	SRP112703	2017-07-18T09:11:00Z	1
SRR5836659	AMPLICON	151	6131657	PRJNA394790	SAMN07360285	Metagenome or environmental	3285443	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013106	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.45	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.45	DNA extracted from sample J8.45	SRP112703	2017-07-18T09:11:00Z	1
SRR5836660	AMPLICON	151	2592066	PRJNA394790	SAMN07360284	Metagenome or environmental	1431496	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013105	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.44	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.44	DNA extracted from sample J8.44	SRP112703	2017-07-18T09:11:00Z	1
SRR5836661	AMPLICON	151	4186928	PRJNA394790	SAMN07360283	Metagenome or environmental	2225198	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013104	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.43	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.43	DNA extracted from sample J8.43	SRP112703	2017-07-18T09:11:00Z	1
SRR5836662	AMPLICON	151	4855707	PRJNA394790	SAMN07360282	Metagenome or environmental	2481215	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013103	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.41	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.41	DNA extracted from sample J8.41	SRP112703	2017-07-18T09:11:00Z	1
SRR5836663	AMPLICON	151	2208979	PRJNA394790	SAMN07360281	Metagenome or environmental	1232870	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/29/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013102	Madagascar	Africa	"Madagascar:Andasibe\	Torotorofotsy-ProlemurCamp"	Mantella	crocea	Illumina MiSeq	Skin swab	18.7709 S 48.43222 E	J8.40	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J8.40	DNA extracted from sample J8.40	SRP112703	2017-07-18T09:11:00Z	1
SRR5836664	AMPLICON	151	5206027	PRJNA394790	SAMN07360023	Metagenome or environmental	2735556	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013101	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Mantidactylus	opiparis	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.2	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.2	DNA extracted from sample J5.2	SRP112703	2017-07-18T09:11:00Z	1
SRR5836665	AMPLICON	151	4238117	PRJNA394790	SAMN07360015	Metagenome or environmental	2247336	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013100	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Mantidactylus	femoralis	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.22	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.22	DNA extracted from sample J5.22	SRP112703	2017-07-18T09:11:00Z	1
SRR5836666	AMPLICON	151	4096328	PRJNA394790	SAMN07360032	Metagenome or environmental	2129803	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013099	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Boophis	ankaratra	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.18	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.18	DNA extracted from sample J5.18	SRP112703	2017-07-18T09:11:00Z	1
SRR5836667	AMPLICON	151	2564282	PRJNA394790	SAMN07360008	Metagenome or environmental	1414583	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013098	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Boophis	ankaratra	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.19	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.19	DNA extracted from sample J5.19	SRP112703	2017-07-18T09:11:00Z	1
SRR5836668	AMPLICON	151	3788439	PRJNA394790	SAMN07360031	Metagenome or environmental	1969995	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013097	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Spinomantis	peraccae	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.14	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.14	DNA extracted from sample J5.14	SRP112703	2017-07-18T09:11:00Z	1
SRR5836669	AMPLICON	151	3368659	PRJNA394790	SAMN07360009	Metagenome or environmental	1741259	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013096	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Boophis	goudoti	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.16	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.16	DNA extracted from sample J5.16	SRP112703	2017-07-18T09:11:00Z	1
SRR5836670	AMPLICON	151	7066196	PRJNA394790	SAMN07360029	Metagenome or environmental	3677382	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013095	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Spinomantis	peraccae	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.12	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.12	DNA extracted from sample J5.12	SRP112703	2017-07-18T09:11:00Z	1
SRR5836671	AMPLICON	151	3572207	PRJNA394790	SAMN07360030	Metagenome or environmental	1925863	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013094	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Spinomantis	peraccae	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.13	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.13	DNA extracted from sample J5.13	SRP112703	2017-07-18T09:11:00Z	1
SRR5836672	AMPLICON	151	4006634	PRJNA394790	SAMN07360016	Metagenome or environmental	2128873	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013093	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Mantidactylus	femoralis	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.23	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.23	DNA extracted from sample J5.23	SRP112703	2017-07-18T09:11:00Z	1
SRR5836673	AMPLICON	151	5188058	PRJNA394790	SAMN07360017	Metagenome or environmental	2731098	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/20/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013092	Madagascar	Africa	"Madagascar:Ambohitantely\	Stream"	Mantidactylus	femoralis	Illumina MiSeq	Skin swab	18.19814 S 47.2817 E	J5.24	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J5.24	DNA extracted from sample J5.24	SRP112703	2017-07-18T09:11:00Z	1
SRR5836674	AMPLICON	151	4978772	PRJNA394790	SAMN07359925	Metagenome or environmental	2546299	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/16/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013091	Madagascar	Africa	"Madagascar:Ranomafana\	Vohiparara"	Blommersia	blommersae	Illumina MiSeq	Skin swab	21.23565 S 47.39752 E	J4.40	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J4.40	DNA extracted from sample J4.40	SRP112703	2017-07-18T09:11:00Z	1
SRR5836675	AMPLICON	151	1871041	PRJNA394790	SAMN07359951	Metagenome or environmental	1036796	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/16/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013090	Madagascar	Africa	"Madagascar:Ranomafana\	Vohiparara"	Guibemantis	pulcher	Illumina MiSeq	Skin swab	21.23565 S 47.39752 E	J4.4	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J4.4	DNA extracted from sample J4.4	SRP112703	2017-07-18T09:11:00Z	1
SRR5836676	AMPLICON	151	4298366	PRJNA394790	SAMN07359853	Metagenome or environmental	2387228	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/13/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013089	Madagascar	Africa	"Madagascar:Ranomafana\	Ambatoladimy"	Gephyromantis	enki	Illumina MiSeq	Skin swab	21.25034 S 47.42057 E	J2.25	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J2.25	DNA extracted from sample J2.25	SRP112703	2017-07-18T09:11:00Z	1
SRR5836677	AMPLICON	151	2185272	PRJNA394790	SAMN07359840	Metagenome or environmental	1257707	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/13/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013088	Madagascar	Africa	"Madagascar:Ranomafana\	Ambatoladimy"	Anodonthyla	boulengeri	Illumina MiSeq	Skin swab	21.25034 S 47.42057 E	J2.26	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J2.26	DNA extracted from sample J2.26	SRP112703	2017-07-18T09:11:00Z	1
SRR5836678	AMPLICON	151	3900330	PRJNA394790	SAMN07360302	Metagenome or environmental	2032861	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/3/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013087	Madagascar	Africa	"Madagascar:Farankaraina\	Station"	Gephyromantis	webbi	Illumina MiSeq	Skin swab	15.26002 S 49.50459 E	Gephyromantis.webbi.7.017.1267648	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.webbi.7.017.1267648	DNA extracted from sample Gephyromantis.webbi.7.017.1267648	SRP112703	2017-07-18T09:11:00Z	1
SRR5836679	AMPLICON	151	4164278	PRJNA394790	SAMN07360303	Metagenome or environmental	2074992	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/3/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013086	Madagascar	Africa	"Madagascar:Farankaraina\	Station"	Gephyromantis	webbi	Illumina MiSeq	Skin swab	15.26002 S 49.50459 E	Gephyromantis.webbi.7.018.1267671	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.webbi.7.018.1267671	DNA extracted from sample Gephyromantis.webbi.7.018.1267671	SRP112703	2017-07-18T09:11:00Z	1
SRR5836680	AMPLICON	151	3739062	PRJNA394790	SAMN07360480	Metagenome or environmental	1869591	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/5/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013085	Madagascar	Africa	"Madagascar:Farankaraina\	NosyMangabe"	Gephyromantis	silvanus	Illumina MiSeq	Skin swab	15.499 S 49.7627 E	Gephyromantis.silvanus.8.005.1267800	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.silvanus.8.005.1267800	DNA extracted from sample Gephyromantis.silvanus.8.005.1267800	SRP112703	2017-07-18T09:11:00Z	1
SRR5836681	AMPLICON	151	3280475	PRJNA394790	SAMN07360481	Metagenome or environmental	1719213	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/5/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013084	Madagascar	Africa	"Madagascar:Farankaraina\	NosyMangabe"	Gephyromantis	silvanus	Illumina MiSeq	Skin swab	15.499 S 49.7627 E	Gephyromantis.silvanus.8.006.1267734	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.silvanus.8.006.1267734	DNA extracted from sample Gephyromantis.silvanus.8.006.1267734	SRP112703	2017-07-18T09:11:00Z	1
SRR5836682	AMPLICON	151	3598632	PRJNA394790	SAMN07360482	Metagenome or environmental	1839026	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/5/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013083	Madagascar	Africa	"Madagascar:Farankaraina\	NosyMangabe"	Gephyromantis	silvanus	Illumina MiSeq	Skin swab	15.499 S 49.7627 E	Gephyromantis.silvanus.8.007.1267636	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.silvanus.8.007.1267636	DNA extracted from sample Gephyromantis.silvanus.8.007.1267636	SRP112703	2017-07-18T09:11:00Z	1
SRR5836683	AMPLICON	151	1138691	PRJNA394790	SAMN07360483	Metagenome or environmental	614264	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/5/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013082	Madagascar	Africa	"Madagascar:Farankaraina\	NosyMangabe"	Gephyromantis	silvanus	Illumina MiSeq	Skin swab	15.499 S 49.7627 E	Gephyromantis.silvanus.8.009.1267783	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.silvanus.8.009.1267783	DNA extracted from sample Gephyromantis.silvanus.8.009.1267783	SRP112703	2017-07-18T09:11:00Z	1
SRR5836684	AMPLICON	151	5276544	PRJNA394790	SAMN07360372	Metagenome or environmental	2701309	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/4/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013081	Madagascar	Africa	"Madagascar:Farankaraina\	Station"	Gephyromantis	luteus	Illumina MiSeq	Skin swab	15.26002 S 49.50459 E	Gephyromantis.luteus.7.028.1267763	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.luteus.7.028.1267763	DNA extracted from sample Gephyromantis.luteus.7.028.1267763	SRP112703	2017-07-18T09:11:00Z	1
SRR5836685	AMPLICON	151	7540789	PRJNA394790	SAMN07360373	Metagenome or environmental	3822325	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/4/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013080	Madagascar	Africa	"Madagascar:Farankaraina\	Station"	Gephyromantis	luteus	Illumina MiSeq	Skin swab	15.26002 S 49.50459 E	Gephyromantis.luteus.7.029.1267669	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.luteus.7.029.1267669	DNA extracted from sample Gephyromantis.luteus.7.029.1267669	SRP112703	2017-07-18T09:11:00Z	1
SRR5836686	AMPLICON	151	6340339	PRJNA394790	SAMN07360374	Metagenome or environmental	3389696	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/4/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013079	Madagascar	Africa	"Madagascar:Farankaraina\	Station"	Gephyromantis	luteus	Illumina MiSeq	Skin swab	15.26002 S 49.50459 E	Gephyromantis.luteus.7.030.1267799	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.luteus.7.030.1267799	DNA extracted from sample Gephyromantis.luteus.7.030.1267799	SRP112703	2017-07-18T09:11:00Z	1
SRR5836687	AMPLICON	151	15093809	PRJNA394790	SAMN07360301	Metagenome or environmental	7739716	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	9/3/2013	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013078	Madagascar	Africa	"Madagascar:Farankaraina\	Station"	Gephyromantis	silvanus	Illumina MiSeq	Skin swab	15.26002 S 49.50459 E	Gephyromantis.silvanus.7.020.1267652	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	Gephyromantis.silvanus.7.020.1267652	DNA extracted from sample Gephyromantis.silvanus.7.020.1267652	SRP112703	2017-07-18T09:11:00Z	1
SRR5836688	AMPLICON	151	5860008	PRJNA394790	SAMN07359959	Metagenome or environmental	3234714	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/16/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013077	Madagascar	Africa	"Madagascar:Ranomafana\	Vohiparara"	Mantidactylus	femoralis	Illumina MiSeq	Skin swab	21.23565 S 47.39752 E	J4.2	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J4.2	DNA extracted from sample J4.2	SRP112703	2017-07-18T09:11:00Z	1
SRR5836689	AMPLICON	151	4835775	PRJNA394790	SAMN07359930	Metagenome or environmental	2485528	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/16/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013076	Madagascar	Africa	"Madagascar:Ranomafana\	Vohiparara"	Boophis	guibei	Illumina MiSeq	Skin swab	21.23565 S 47.39752 E	J4.20	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J4.20	DNA extracted from sample J4.20	SRP112703	2017-07-18T09:11:00Z	1
SRR5836690	AMPLICON	151	4730226	PRJNA394790	SAMN07359922	Metagenome or environmental	2563471	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/16/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013075	Madagascar	Africa	"Madagascar:Ranomafana\	Vohiparara"	Blommersia	blommersae	Illumina MiSeq	Skin swab	21.23565 S 47.39752 E	J4.11	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J4.11	DNA extracted from sample J4.11	SRP112703	2017-07-18T09:11:00Z	1
SRR5836691	AMPLICON	151	4435927	PRJNA394790	SAMN07359923	Metagenome or environmental	2396031	TECHNICAL UNVIERSITY OF BRAUNSCWHEIG	1/16/2014	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX3013074	Madagascar	Africa	"Madagascar:Ranomafana\	Vohiparara"	Blommersia	blommersae	Illumina MiSeq	Skin swab	21.23565 S 47.39752 E	J4.12	PAIRED	PCR	METAGENOMIC	skin metagenome	ILLUMINA	2017-07-18T00:00:00Z	J4.12	DNA extracted from sample J4.12	SRP112703	2017-07-18T09:11:00Z	1
